Ad group,Keyword,Status,Max. CPC,Impressions,Avg. position,Clicks,CTR,Avg. CPC,Match type,Cost,Conversions,Cost / conv.,Conv. rate,Search Impr. share,Search Lost IS (rank),Quality score
Rankings,+health +grades +for +doctors,eligible,6.00,2,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Smoking,+nicotine +withdrawal +symptoms,eligible,6.00,25,2.7,3,12.00%,3.08,Broad,9.23,0.0,0.00,0.00%,32.47%,36.36%,6
Symptom Checker,+get +medical +advice,eligible,6.00,2,1.0,1,50.00%,4.00,Broad,4.00,0.0,0.00,0.00%,40.00%,0.00%,--
Smoking,+benefits +of +quitting +smoking,eligible,6.00,27,4.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,75.00%,25.00%,5
Smoking,+quit +smoking +effects,eligible,6.00,2,3.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,18.18%,18.18%,--
Nutrition,+food +nutrition +chart,low quality score,6.00,7,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,1
Rankings,+the +best +cardiologists +in +indianapolis,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+top +ten +cancer +hospitals,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,6
Rankings,+top +10 +cancer +hospitals,eligible,6.00,2,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,40.00%,0.00%,--
Rankings,+physician +ratings +and +reviews,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Smoking,+smoking +cessation +programs,eligible,6.00,7,2.4,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,70.00%,0.00%,7
Rankings,+best +doctors +indiana,eligible,6.00,17,1.8,3,17.65%,1.18,Broad,3.53,0.0,0.00,0.00%,23.61%,4.17%,--
Surgeon,+neurosurgeon in indianapolis,eligible,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+ways +to +quit +smoking,eligible,6.00,17,4.2,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,48.57%,34.29%,5
Outpatient Clinics,+indianapolis +outpatient +clinic,eligible,6.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Surgeon,+beltway +surgery +center +indianapolis +indiana,low search volume,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,--
Rankings,+indianapolis +monthly +top +doctors,eligible,6.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,0.00%,5
Nutrition,+health +diet +plan,eligible,6.00,48,1.5,1,2.08%,4.38,Broad,4.38,0.0,0.00,0.00%,32.43%,24.32%,7
Symptom Checker,+diagnose +symptoms,eligible,6.00,191,1.2,27,14.14%,0.88,Broad,23.68,0.0,0.00,0.00%,95.98%,3.52%,6
Rankings,+doctor +reviews +indiana,eligible,6.00,24,1.4,1,4.17%,5.14,Broad,5.14,0.0,0.00,0.00%,21.62%,1.80%,--
Hospital,+hospital +in +indianapolis,eligible,6.00,15,1.4,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,78.95%,15.79%,5
Rankings,+healthgrades +doctors,eligible,6.00,12,1.9,1,8.33%,2.06,Broad,2.06,5.0,0.41,500.00%,37.50%,0.00%,5
Smoking,+quitting +smoking +benefits,below first page bid (First page cpc : 7.24),6.00,1,5.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Clinic,+health +clinic +indianapolis,eligible,6.00,9,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,81.82%,18.18%,5
Smoking,+cessation +smoking,eligible,6.00,52,2.0,4,7.69%,2.34,Broad,9.35,0.0,0.00,0.00%,89.66%,10.34%,7
Surgeon,+local +surgeons,eligible,4.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,6
Surgeon,+general +surgeons +indianapolis,eligible,4.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Surgeon,+neurosurgeon +indianapolis +in,eligible,4.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Smoking,+effects +of +smoking,eligible,6.00,32,2.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,40.00%,38.75%,3
Rankings,+top +hospitals +in +usa,eligible,6.00,11,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,28.95%,2.63%,3
Clinical Trials,+medical +studies,below first page bid (First page cpc : 10.70),6.00,84,1.3,7,8.33%,0.82,Broad,5.71,0.0,0.00,0.00%,35.44%,3.80%,6
Symptom Checker,+when +to +go +to +the +hospital,low quality score,6.00,39,1.1,1,2.56%,1.92,Broad,1.92,0.0,0.00,0.00%,75.00%,17.31%,1
Clinical Trials,+research +trials +near +me,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinical Trials,+clinical +research +indianapolis,eligible,6.00,3,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,15.00%,0.00%,--
Nutrition,+nutrition +and +diet,below first page bid (First page cpc : 8.67),6.00,95,1.4,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,60.90%,11.54%,7
Outpatient Clinics,+medical +outpatient +clinics,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinic,+medical +clinics +near +me,eligible,6.00,26,1.8,4,15.38%,2.31,Broad,9.24,0.0,0.00,0.00%,96.30%,3.70%,4
Hospital,+indianapolis +university +hospital,eligible,6.00,19,1.2,3,15.79%,0.58,Broad,1.74,3.0,0.58,100.00%,79.17%,12.50%,5
Rankings,+best +cancer +hospital,below first page bid (First page cpc : 8.20),7.00,8,3.0,1,12.50%,5.82,Broad,5.82,0.0,0.00,0.00%,< 10%,6.25%,--
Smoking,+quit +smoking +cessation,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,5
Surgeon,+indianapolis +surgeons,eligible,4.00,78,1.5,9,11.54%,2.20,Broad,19.84,10.0,1.98,111.11%,79.59%,3.06%,6
Symptom Checker,+medical +questions,eligible,6.00,111,1.3,13,11.71%,1.33,Broad,17.33,0.0,0.00,0.00%,47.03%,9.32%,5
Rankings,+cancer +hospital +rankings,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Hospital,+hospitals +in +indiana,eligible,6.00,15,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,13.39%,4.46%,6
Rankings,+hospital +ratings,eligible,6.00,58,1.2,1,1.72%,1.88,Broad,1.88,0.0,0.00,0.00%,35.37%,9.76%,6
Symptom Checker,+symptoms +advice,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+treatments +for +quitting +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+health +outpatient +clinics +near +me,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+doctor +help +to +quit +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+indiana +outpatient +clinic +in,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Symptom Checker,+I +need +medical +advice,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+da +vinci +surgical +robot,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Nutrition,+nutrition +for +elderly +people,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Nutrition,+indiana +nutrition +centers,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+health +outpatient +clinic +near +me,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinical Trials,+clinical +research +studies,eligible,6.00,5,1.2,1,20.00%,6.19,Broad,6.19,0.0,0.00,0.00%,45.45%,9.09%,7
Symptom Checker,+medical +symptoms +and +signs +of +disease,eligible,6.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Smoking,+side +effects +quitting +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,5
Nutrition,+nutrition +chart +for +foods,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Nutrition,+doctor +prescribed +diet,eligible,6.00,4,1.8,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,20.00%,0.00%,--
Rankings,+hospital +rankings,eligible,6.00,64,1.4,3,4.69%,1.14,Broad,3.42,0.0,0.00,0.00%,33.16%,9.33%,5
Smoking,+best +way +to +quit +smoking,eligible,6.00,5,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,62.50%,25.00%,5
Clinic,+indiana +clinic +in,eligible,6.00,11,1.5,1,9.09%,2.67,Broad,2.67,0.0,0.00,0.00%,44.00%,44.00%,--
Clinical Trials,+clinical +studies +in +indianapolis,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+dangers +of +smoking,low quality score,6.00,4,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,19.05%,0.00%,1
Outpatient Clinics,+medical +outpatient +clinic,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Outpatient Clinics,+outpatient +clinics +near +me,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Health Services,+health +services +in +indiana,eligible,6.00,6,3.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,42.86%,0.00%,--
Clinical Trials,+clinical +studies +indianapolis,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinical Trials,+clinical +studies +indianapolis +in,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+www +davinciprostatectomy +com,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinic,+health +clinics +near +me,eligible,6.00,60,1.9,2,3.33%,2.61,Broad,5.22,0.0,0.00,0.00%,95.24%,3.17%,5
Davinci Surgery,+da +vinci +prostate +surgery,eligible,6.00,3,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,6
Rankings,+top +ten +cancer +centers,eligible,6.00,1,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Minimally Invasive Surgery,+laser +surgery,eligible,18.00,439,2.3,52,11.85%,2.22,Broad,115.48,5.0,23.10,9.62%,29.29%,7.27%,3
Rankings,+best +doctors +in +indianapolis,eligible,6.00,12,2.2,1,8.33%,5.53,Broad,5.53,0.0,0.00,0.00%,85.71%,0.00%,6
Davinci Surgery,+robotic +lung +surgery,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,8
Smoking,+benefits +of +stopping +smoking,eligible,6.00,5,4.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,71.43%,14.29%,5
Smoking,+smoking +facts,below first page bid (First page cpc : 10.60),6.00,27,3.0,1,3.70%,3.48,Broad,3.48,0.0,0.00,0.00%,12.39%,5.96%,3
Surgeon,+surgeons +in +indianapolis,eligible,4.00,20,1.7,3,15.00%,1.15,Broad,3.45,3.0,1.15,100.00%,90.91%,4.55%,5
Smoking,+quitting +smoking,eligible,6.00,274,3.2,8,2.92%,3.07,Broad,24.57,0.0,0.00,0.00%,49.73%,34.30%,7
Health Services,+health +services +indiana,eligible,6.00,45,1.4,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,46.39%,52.58%,--
Smoking,+quit +smoking +benefits,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,5
Nutrition,+nutritional +values,eligible,6.00,11,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,39.29%,0.00%,3
Hospital,+hospital +in +indianapolis +in,eligible,6.00,5,1.0,1,20.00%,0.51,Broad,0.51,1.0,0.51,100.00%,83.33%,0.00%,--
Nutrition,+nutritionist +doctors,eligible,6.00,4,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,19.05%,0.00%,5
Clinic,+clinics +near +me,eligible,6.00,187,1.9,5,2.67%,3.06,Broad,15.29,0.0,0.00,0.00%,58.07%,41.93%,4
Smoking,+benefits +quitting +smoking,eligible,6.00,2,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Rankings,+best +hospitals +in +indianapolis,eligible,6.00,5,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,71.43%,14.29%,6
Nutrition,+professional +nutritionists,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Symptom Checker,+signs +and +symptoms,eligible,6.00,864,1.5,59,6.83%,2.51,Broad,147.92,0.0,0.00,0.00%,80.75%,17.29%,5
Surgeon,+general +surgeon +indianapolis,eligible,4.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Pharmacy Clinics,+retail +pharmacy,eligible,6.00,298,1.0,27,9.06%,0.72,Broad,19.36,34.0,0.57,125.93%,94.01%,5.05%,7
Rankings,+best +hospital +in +indiana,eligible,6.00,17,1.9,1,5.88%,1.03,Broad,1.03,0.0,0.00,0.00%,30.91%,1.82%,5
Nutrition,+nutritional +food,eligible,6.00,111,1.5,1,0.90%,1.11,Broad,1.11,0.0,0.00,0.00%,33.84%,7.01%,5
Davinci Surgery,+robotic +surgery,eligible,6.00,60,1.3,6,10.00%,2.92,Broad,17.53,0.0,0.00,0.00%,70.59%,4.71%,7
Davinci Surgery,+robotic +hysterectomy,eligible,6.00,17,1.4,3,17.65%,2.85,Broad,8.54,0.0,0.00,0.00%,28.81%,1.69%,5
Nutrition,+professional +nutritionist,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,11.54%,--
Symptom Checker,+symptom +checker +for +men,eligible,6.00,13,1.0,2,15.38%,0.64,Broad,1.27,0.0,0.00,0.00%,100.00%,0.00%,5
Clinic,+medical +clinic,eligible,6.00,46,1.7,1,2.17%,1.17,Broad,1.17,0.0,0.00,0.00%,51.69%,40.45%,5
Nutrition,+basic +nutrition,eligible,6.00,26,1.7,2,7.69%,0.84,Broad,1.67,0.0,0.00,0.00%,63.41%,7.32%,3
Minimally Invasive Surgery,+laparoscopic +surgery,eligible,6.00,21,1.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,58.33%,33.33%,5
Davinci Surgery,+divinci +hysterectomy,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Smoking,+best +stop +smoking +aids,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,--
Hospital,+regional +hospital,eligible,6.00,343,1.4,6,1.75%,3.67,Broad,22.04,6.0,3.67,100.00%,26.20%,57.91%,3
Rankings,+indiana +doctor +ratings,low search volume,6.00,5,1.4,2,40.00%,1.25,Broad,2.50,5.0,0.50,250.00%,100.00%,0.00%,--
Clinic,+after +hour +clinics,eligible,6.00,60,1.2,2,3.33%,1.84,Broad,3.68,0.0,0.00,0.00%,32.26%,67.74%,3
Nutrition,+nutrition +management,below first page bid (First page cpc : 9.77),6.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,40.00%,0.00%,--
Symptom Checker,+on +line +medical +diagnosis,eligible,6.00,5,1.2,2,40.00%,0.28,Broad,0.56,0.0,0.00,0.00%,62.50%,0.00%,--
Rankings,+top +ranked +indiana +hospitals,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Symptom Checker,+medical +web +site,eligible,6.00,8,1.3,2,25.00%,2.92,Broad,5.83,0.0,0.00,0.00%,47.06%,11.76%,5
Surgeon,+indianapolis +surgery +centers,eligible,4.00,19,1.4,2,10.53%,2.23,Broad,4.46,2.0,2.23,100.00%,52.78%,38.89%,5
Pharmacy Clinics,+indiana +retail +pharmacy,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Hospital,+hospitals +in +indianapolis,eligible,6.00,41,1.1,1,2.44%,2.95,Broad,2.95,1.0,2.95,100.00%,24.26%,7.10%,5
Smoking,+quit +smoking +treatments,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+robotic +surgery +kidney +cancer,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+indianapolis +outpatient +clinics,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+after +hour +outpatient +clinics,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+top +rated +cancer +hospitals,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,10
Rankings,+who +is +the +best +orthopedic +surgeon,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+outpatient +clinics +in +indianapolis +indiana,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+best +rated +hospitals,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+best +stop +smoking +aid,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Rankings,+best +orthopedic +surgeon +indianapolis,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Nutrition,+nutrition +website,low quality score,6.00,12,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,34.29%,2.86%,2
Pharmacy Clinics,+retail +pharmacy +clinics +in +indiana,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+tips +to +quit +smoking,eligible,6.00,5,4.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,83.33%,16.67%,9
Rankings,+top +vascular +surgeons,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Outpatient Clinics,+outpatient +clinics +health,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Minimally Invasive Surgery,+laparoscopy +surgery,eligible,6.00,11,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,84.62%,0.00%,3
Rankings,+ratings +for +doctors,eligible,6.00,2,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Clinic,+health +clinics,eligible,6.00,266,1.3,4,1.50%,3.13,Broad,12.52,2.0,6.26,50.00%,49.91%,48.78%,7
Nutrition,+nutrition +advice,eligible,6.00,5,1.0,1,20.00%,3.68,Broad,3.68,0.0,0.00,0.00%,71.43%,0.00%,3
Rankings,+best +doctors,eligible,6.00,445,1.6,8,1.80%,2.33,Broad,18.61,10.0,1.86,125.00%,36.18%,7.64%,6
Nutrition,+nutrition +plan,eligible,6.00,100,1.1,4,4.00%,0.89,Broad,3.56,0.0,0.00,0.00%,50.00%,1.50%,5
Davinci Surgery,+surgical +robots,eligible,6.00,14,1.0,1,7.14%,1.22,Broad,1.22,0.0,0.00,0.00%,< 10%,1.70%,3
Clinic,+indiana +clinics,eligible,6.00,57,1.5,3,5.26%,2.13,Broad,6.39,0.0,0.00,0.00%,41.01%,42.45%,--
Symptom Checker,+check +my +symptoms,eligible,6.00,34,1.0,7,20.59%,0.31,Broad,2.14,0.0,0.00,0.00%,97.14%,2.86%,6
Davinci Surgery,+robotic +surgeons,eligible,6.00,10,1.3,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,76.92%,15.38%,7
Surgeon,+general +surgeons,eligible,4.00,72,1.2,2,2.78%,2.10,Broad,4.20,2.0,2.10,100.00%,60.50%,25.21%,3
Nutrition,+good +eating +habits,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Smoking,+quitting +smoking +side +effects,eligible,6.00,2,2.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,66.67%,33.33%,5
Rankings,+patient +reviews +of +doctors,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Symptom Checker,+web +medical +information,eligible,6.00,13,1.1,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,81.25%,0.00%,--
Minimally Invasive Surgery,+laparoscopic +operation,eligible,6.00,1,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Symptom Checker,+do +I +need +medical +attention,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Surgeon,top +neurosurgeons,eligible,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Clinic,+clinics +in +indianapolis +indiana,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,6
Surgeon,+central +indiana +surgery +centerindianapolis +in,low search volume,4.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Smoking,+best +quit +smoking +aids,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,> 90%,5
Rankings,+health +grades +doctors,eligible,6.00,16,1.9,2,12.50%,0.52,Broad,1.04,0.0,0.00,0.00%,100.00%,0.00%,6
Surgeon,+surgeon +directory,eligible,4.00,1,2.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Nutrition,+good +nutrition +facts,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Rankings,+best +hospital +in +indianapolis,eligible,6.00,8,1.8,1,12.50%,0.88,Broad,0.88,3.0,0.29,300.00%,18.60%,2.33%,5
Hospital,+indianapolis +hospitals,eligible,6.00,188,1.1,4,2.13%,1.36,Broad,5.45,8.0,0.68,200.00%,45.85%,13.66%,5
Smoking,+facts +about +quitting +smoking,eligible,6.00,1,4.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,5
Davinci Surgery,+robotic +prostate +removal,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,0.00%,--
Surgeon,+beltway +surgery +center +indianapolis,below first page bid (First page cpc : 4.14),4.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,20.00%,80.00%,3
Davinci Surgery,+robotic +surgery +technology,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,0.00%,--
Smoking,+effective +ways +to +quit +smoking,eligible,6.00,1,4.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,50.00%,--
Smoking,+quitting +smoking +facts,eligible,6.00,1,4.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Rankings,+doctors +reviews +and +ratings,eligible,6.00,3,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,6
Outpatient Clinics,+24 +hour +medical +outpatient +clinic,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Davinci Surgery,+robotic +surgeon +technology,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
Outpatient Clinics,+indiana +outpatient +clinic,eligible,6.00,2,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,100.00%,0.00%,--
Outpatient Clinics,+outpatient +clinic +near +me,eligible,6.00,1,1.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,50.00%,0.00%,6
Smoking,+smoking +cessation +classes,eligible,6.00,8,1.5,1,12.50%,5.04,Broad,5.04,0.0,0.00,0.00%,88.89%,11.11%,7
Davinci Surgery,+da +vinci +surgery,eligible,6.00,36,1.2,2,5.56%,1.82,Broad,3.63,0.0,0.00,0.00%,55.38%,0.00%,7
Outpatient Clinics,+out +patient +clinic,eligible,6.00,78,1.3,3,3.85%,2.82,Broad,8.45,3.0,2.82,100.00%,50.98%,3.27%,7
Davinci Surgery,+da +vinci +robotic +surgery,eligible,6.00,17,1.2,4,23.53%,2.25,Broad,9.00,0.0,0.00,0.00%,100.00%,0.00%,7
Symptom Checker,+diagnosis +my +symptoms,eligible,6.00,29,1.0,4,13.79%,1.01,Broad,4.05,0.0,0.00,0.00%,100.00%,0.00%,5
Rankings,+top +rated +surgeons,eligible,6.00,4,2.5,1,25.00%,2.09,Broad,2.09,0.0,0.00,0.00%,< 10%,0.00%,--
Smoking,+cessation +quit +smoking,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,< 10%,25.00%,--
Minimally Invasive Surgery,+minimally +invasive +surgery,eligible,6.00,43,1.5,4,9.30%,1.52,Broad,6.08,0.0,0.00,0.00%,30.71%,2.14%,7
Surgeon,+surgery +center +indianapolis,low quality score,4.00,20,1.6,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,33.90%,15.25%,2
Smoking,+how +to +stop +smoking,eligible,6.00,39,3.4,1,2.56%,3.32,Broad,3.32,0.0,0.00,0.00%,40.21%,16.49%,7
Smoking,+quit +smoking +programs,eligible,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,5
Smoking,+tobacco +cessation +program,eligible,6.00,5,2.2,1,20.00%,1.68,Broad,1.68,0.0,0.00,0.00%,50.00%,0.00%,10
Clinic,+medical +clinics,eligible,6.00,327,1.3,12,3.67%,1.55,Broad,18.64,7.0,2.66,58.33%,57.98%,40.07%,7
Clinic,+indianapolis +health +clinic,eligible,6.00,4,1.5,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,57.14%,14.29%,4
Smoking,+smoking +health +effects,below first page bid (First page cpc : 6.42),6.00,3,3.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,14.29%,14.29%,--
Nutrition,+professional +nutrition +plans,low search volume,6.00,0,0.0,0,0.00%,0.00,Broad,0.00,0.0,0.00,0.00%,--,--,--
